               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.027919,            0.024592,          0.00066446,             0.82395,             0.38615,             0.47636,             0.30063,            0.042508,            0.023216,            0.019688,            0.002872,            0.002872,            0.002872
                  38,            0.027425,            0.024736,          0.00073138,             0.57318,             0.49489,             0.47455,             0.29977,            0.043593,            0.024072,             0.01462,            0.002674,            0.002674,            0.002674
                  39,            0.027473,            0.025129,          0.00065897,             0.52369,             0.46077,             0.44933,              0.2799,            0.043666,            0.023775,            0.016088,            0.002476,            0.002476,            0.002476
                  40,            0.027455,            0.023817,          0.00061612,             0.52534,             0.53022,             0.49492,             0.30654,            0.045193,            0.024242,             0.02027,            0.002278,            0.002278,            0.002278
                  41,            0.026654,            0.024588,          0.00066524,             0.65391,             0.41819,             0.46721,             0.27977,            0.046852,            0.024552,            0.023985,             0.00208,             0.00208,             0.00208
                  42,             0.02645,              0.0236,          0.00056704,             0.58331,             0.41642,             0.43808,             0.27449,            0.045327,            0.024813,            0.020631,            0.001882,            0.001882,            0.001882
                  43,            0.026222,            0.023792,          0.00060514,             0.64716,             0.45483,             0.47783,             0.28801,            0.047378,            0.024084,            0.018562,            0.001684,            0.001684,            0.001684
                  44,            0.026054,            0.023871,           0.0005942,             0.67115,             0.42066,             0.47783,             0.29561,            0.044977,            0.025113,            0.019339,            0.001486,            0.001486,            0.001486
                  45,            0.025087,            0.022646,          0.00055714,             0.73164,             0.46466,             0.48596,             0.29846,            0.045044,            0.025178,            0.014277,            0.001288,            0.001288,            0.001288
                  46,            0.025764,            0.023612,          0.00056119,             0.46983,             0.48216,              0.4468,             0.26981,            0.044702,            0.024659,            0.019122,             0.00109,             0.00109,             0.00109
                  47,            0.025263,            0.023765,           0.0004874,             0.55827,             0.41271,             0.42907,             0.26249,            0.045843,            0.025005,            0.022288,            0.000892,            0.000892,            0.000892
                  48,            0.025271,            0.023087,          0.00047614,             0.58607,             0.48229,             0.47536,              0.2931,            0.044131,            0.024946,            0.018989,            0.000694,            0.000694,            0.000694
                  49,            0.025279,            0.023638,          0.00053689,             0.75447,              0.3977,             0.46623,             0.28609,            0.044378,            0.024976,            0.022808,            0.000496,            0.000496,            0.000496
